Date,Inflow_USD_M
2025-02-06,-140.20
2025-02-07,171.30
2025-02-10,-186.30
2025-02-11,-56.70
2025-02-12,-251.00
2025-02-13,-157.80
2025-02-14,66.20
2025-02-18,-60.70
2025-02-19,-71.20
2025-02-20,-364.80
2025-02-21,-62.90
2025-02-24,-565.90
2025-02-25,-1113.70
2025-02-26,-757.80
2025-02-27,-275.90
2025-02-28,94.30
2025-03-03,-74.20
2025-03-04,-143.50
2025-03-05,-38.30
2025-03-06,-134.30
2025-03-07,-409.30
2025-03-10,-372.50
2025-03-11,-396.30
2025-03-12,13.30
2025-03-13,-143.40
2025-03-14,41.30
2025-03-17,274.60
2025-03-18,209.10
2025-03-19,11.80
2025-03-20,165.70
2025-03-21,83.10
2025-03-24,79.70
2025-03-25,26.80
2025-03-26,89.60
2025-03-27,81.70
2025-03-28,-94.90
2025-03-31,-71.20
2025-04-01,-157.80
2025-04-02,220.80
2025-04-03,-99.80
2025-04-04,-64.90
2025-04-07,-109.20
2025-04-08,-328.00
2025-04-09,-127.20
2025-04-10,-149.50
2025-04-11,-1.00
2025-04-14,1.50
2025-04-15,76.40
2025-04-16,-169.80
2025-04-17,106.90
2025-04-21,387.40
2025-04-22,936.50
2025-04-23,917.00
2025-04-24,442.00
2025-04-25,380.00
2025-04-28,591.20
2025-04-29,172.80
2025-04-30,-56.30
2025-05-01,422.50
2025-05-02,674.90
2025-05-05,425.50
2025-05-06,-85.70
2025-05-07,142.30
2025-05-08,117.40
2025-05-09,334.50
2025-05-12,5.20
2025-05-13,-91.40
2025-05-14,319.50
2025-05-15,114.90
2025-05-16,260.20
2025-05-19,667.40
2025-05-20,329.20
2025-05-21,607.10
2025-05-22,934.80
2025-05-23,211.70
2025-05-27,385.40
2025-05-28,432.70
2025-05-29,-346.80
2025-05-30,-616.10
2025-06-02,-267.50
2025-06-03,375.10
2025-06-04,87.00
2025-06-05,-278.40
2025-06-06,-47.80
2025-06-09,386.20
2025-06-10,431.20
2025-06-11,164.60
2025-06-12,86.30
2025-06-13,322.70
2025-06-16,412.20
2025-06-17,216.50
2025-06-18,388.30
2025-06-20,6.40
2025-06-23,350.60
2025-06-24,588.60
2025-06-25,547.70
2025-06-26,226.70
2025-06-27,501.20
2025-06-30,102.10
2025-07-01,-342.20
2025-07-02,407.80
2025-07-03,601.80
2025-07-07,216.50
2025-07-08,80.10
2025-07-09,215.70
2025-07-10,1175.60
2025-07-11,1029.60
2025-07-14,297.40
2025-07-15,403.10
2025-07-16,799.40
2025-07-17,522.60
2025-07-18,363.50
2025-07-21,-131.40
2025-07-22,-68.00
2025-07-23,-85.80
2025-07-24,226.70
2025-07-25,130.80
2025-07-28,157.10
2025-07-29,80.00
2025-07-30,47.10
2025-07-31,-114.80
2025-08-01,-812.30
2025-08-04,-323.50
2025-08-05,-196.20
2025-08-06,91.60
2025-08-07,277.40
2025-08-08,403.90
2025-08-11,178.10
2025-08-12,65.90
2025-08-13,86.90
2025-08-14,230.80
2025-08-15,-14.10
2025-08-18,-121.70
2025-08-19,-523.30
2025-08-20,-315.90
2025-08-21,-194.40
2025-08-22,-23.20
2025-08-25,219.10
2025-08-26,88.10
2025-08-27,81.40
2025-08-28,178.90
2025-08-29,-126.70
2025-09-02,332.80
2025-09-03,300.50
2025-09-04,-222.90
2025-09-05,-160.10
2025-09-08,364.30
2025-09-09,23.00
2025-09-10,741.50
2025-09-11,552.70
2025-09-12,642.40
2025-09-15,259.90
2025-09-16,292.30
2025-09-17,-51.30
2025-09-18,163.00
2025-09-19,222.60
2025-09-22,-363.10
2025-09-23,-103.80
2025-09-24,241.00
2025-09-25,-253.40
2025-09-26,-418.30
2025-09-29,518.00
2025-09-30,429.90
2025-10-01,675.80
2025-10-02,627.20
2025-10-03,985.10
2025-10-06,1205.20
2025-10-07,875.60
2025-10-08,440.70
2025-10-09,197.80
2025-10-10,-4.50
2025-10-13,-326.40
2025-10-14,102.70
2025-10-15,-104.10
2025-10-16,-530.90
2025-10-17,-366.60
2025-10-20,-40.40
2025-10-21,477.20
2025-10-22,-101.40
2025-10-23,20.30
2025-10-24,90.60
2025-10-27,149.30
2025-10-28,202.40
2025-10-29,-470.70
2025-10-30,-488.40
2025-10-31,-191.60
2025-11-03,-186.50
2025-11-04,-566.40
2025-11-05,-137.00
2025-11-06,239.90
2025-11-07,-558.40
2025-11-10,1.20
2025-11-11,524.00
2025-11-12,-278.10
2025-11-13,-866.70
2025-11-14,-492.10
2025-11-17,-254.60
2025-11-18,-372.80
2025-11-19,75.40
2025-11-20,-903.20
2025-11-21,238.40
2025-11-24,-151.00
2025-11-25,128.70
2025-11-26,21.10
2025-11-28,71.40
2025-12-01,8.50
2025-12-02,58.50
2025-12-03,-14.90
2025-12-04,-194.60
2025-12-05,54.80
2025-12-08,-60.40
2025-12-09,151.90
2025-12-10,223.50
2025-12-11,-77.50
2025-12-12,49.10
2025-12-15,-357.60
2025-12-16,-277.20
2025-12-17,457.30
2025-12-18,-161.30
2025-12-19,-158.30
2025-12-22,-142.20
2025-12-23,-188.60
2025-12-24,-175.30
2025-12-26,-275.90
2025-12-29,-19.30
2025-12-30,355.10
2025-12-31,-348.10
2026-01-02,471.30
2026-01-05,697.20
2026-01-06,-243.20
2026-01-07,-486.10
2026-01-08,-398.80
2026-01-09,-250.00
2026-01-12,116.70
2026-01-13,753.80
2026-01-14,840.60
2026-01-15,100.20
2026-01-16,-394.70
2026-01-20,-479.70
2026-01-21,-708.70
2026-01-22,-32.20
2026-01-23,-103.50
2026-01-26,6.80
2026-01-27,-147.40
2026-01-28,-19.60
2026-01-29,-817.80
2026-01-30,-509.70
2026-02-02,561.80
2026-02-03,-272.00
2026-02-04,-544.90
2026-02-05,-434.10
2026-02-06,371.10
2026-02-09,144.90
2026-02-10,166.50
2026-02-11,-276.30
2026-02-12,-410.20
2026-02-13,15.10
2026-02-17,-104.90
2026-02-18,-133.30
2026-02-19,-165.80
2026-02-20,88.10
2026-02-23,-203.80
2026-02-24,257.70
2026-02-25,506.60
2026-02-26,254.40
2026-02-27,-27.50
2026-03-02,458.20
2026-03-03,225.20
2026-03-04,461.90
2026-03-05,-227.90
2026-03-06,-348.90
2026-03-09,167.10
2026-03-10,246.90
2026-03-11,115.20
2026-03-12,53.80
2026-03-13,180.40
2026-03-16,199.40
2026-03-17,199.40
2026-03-18,-163.50
2026-03-19,-90.20
2026-03-20,-52.00
2026-03-23,167.20
2026-03-24,-74.50
2026-03-25,7.80
2026-03-26,-171.30
2026-03-27,-225.50
2026-03-30,69.40
2026-03-31,117.50
2026-04-01,-173.70
2026-04-02,9.00
2026-04-06,471.40
2026-04-07,-159.10
2026-04-08,-93.90
2026-04-09,358.10
2026-04-10,240.40
